City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saipan,15.1355,145.701,29.39,54,40,6.17,MP,1710823304
1,brookings,44.3114,-96.7984,2.27,41,0,5.66,US,1710823305
2,mahibadhoo,3.7833,72.9667,28.6,68,3,5.01,MV,1710823305
3,blackmans bay,-43.0167,147.3167,28.07,51,57,2.68,AU,1710823306
4,snezhinsk,56.085,60.7314,-3.91,84,93,4.02,RU,1710823306
5,incheon,37.45,126.4161,9.99,71,75,8.75,KR,1710823307
6,ola,59.5833,151.2833,0.08,70,50,1.07,RU,1710823307
7,afaahiti,-17.75,-149.2833,28.93,76,89,3.51,PF,1710823308
8,ushuaia,-54.8,-68.3,1.81,75,0,1.03,AR,1710823153
9,grytviken,-54.2811,-36.5092,1.7,80,83,3.72,GS,1710823309
10,thompson,55.7435,-97.8558,-8.91,67,100,7.2,CA,1710823310
11,pathein,16.7833,94.7333,37.82,18,0,3.75,MM,1710823310
12,port mathurin,-19.6833,63.4167,26.57,77,5,9.4,MU,1710823311
13,adamstown,-25.066,-130.1015,24.68,79,100,7.15,PN,1710823311
14,gadzhiyevo,69.2551,33.3362,-2.26,92,100,1.12,RU,1710823311
15,nagqu,31.5,92.0,-2.21,48,100,3.49,CN,1710823312
16,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,86,40,22.35,RU,1710823312
17,tiksi,71.6872,128.8694,-19.05,90,75,2.95,RU,1710823313
18,whitehorse,60.7161,-135.0538,3.43,52,75,1.03,CA,1710823303
19,port elizabeth,-33.918,25.5701,19.06,92,0,5.66,ZA,1710823314
20,bethel,41.3712,-73.414,2.64,61,5,1.79,US,1710823164
21,dixon,38.4455,-121.8233,17.23,79,0,2.06,US,1710823314
22,waitangi,-43.9535,-176.5597,12.12,81,62,4.92,NZ,1710823315
23,sile,41.1754,29.6133,5.87,59,78,0.45,TR,1710823315
24,punta arenas,-53.15,-70.9167,0.06,93,100,1.03,CL,1710823316
25,jamestown,42.097,-79.2353,-0.23,100,100,6.17,US,1710823281
26,port-aux-francais,-49.35,70.2167,6.98,86,88,15.25,TF,1710823317
27,baoding,38.8511,115.4903,17.13,10,0,6.97,CN,1710823317
28,puerto ayora,-0.7393,-90.3518,26.97,93,87,0.77,EC,1710823317
29,anadyr,64.75,177.4833,-22.72,69,0,5.0,RU,1710823318
30,sisimiut,66.9395,-53.6735,-18.03,75,17,3.85,GL,1710823319
31,caconda,-13.7333,15.0667,14.89,92,85,0.99,AO,1710823319
32,muisne,0.6,-80.0333,24.15,91,99,2.0,EC,1710823320
33,olonkinbyen,70.9221,-8.7187,-2.75,93,100,16.61,SJ,1710823321
34,papatowai,-46.5619,169.4708,11.72,64,21,4.05,NZ,1710823322
35,lihue,21.9789,-159.3672,23.58,75,100,5.66,US,1710823150
36,egilsstadir,65.2653,-14.3948,0.95,100,100,1.54,IS,1710823323
37,lebu,-37.6167,-73.65,12.22,82,100,2.14,CL,1710823323
38,kayangel,8.0823,134.7173,27.49,82,88,7.08,PW,1710823324
39,bereznik,62.8551,42.7072,-4.65,77,98,3.52,RU,1710823324
40,san luis,-33.295,-66.3356,21.45,78,84,3.08,AR,1710823325
41,college,64.8569,-147.8028,-9.01,53,75,0.0,US,1710823325
42,hasaki,35.7333,140.8333,12.94,34,100,2.7,JP,1710823326
43,ilulissat,69.2167,-51.1,-16.99,46,10,4.63,GL,1710823326
44,chonchi,-42.6128,-73.8092,11.73,96,100,3.52,CL,1710823327
45,huarmey,-10.0681,-78.1522,23.1,82,100,3.17,PE,1710823327
46,malpica,43.3228,-8.8105,11.32,73,94,1.67,ES,1710823328
47,akrehamn,59.2667,5.1833,5.23,70,100,12.35,NO,1710823328
48,albany,42.6001,-73.9662,1.95,69,84,1.34,US,1710823321
49,xining,36.6167,101.7667,5.67,26,0,1.77,CN,1710823220
50,hamilton,39.1834,-84.5333,0.69,61,100,5.66,US,1710823329
51,stanley,54.868,-1.6985,10.07,85,75,5.14,GB,1710823126
52,zara,44.1197,15.2422,9.34,100,0,3.09,HR,1710823331
53,iqaluit,63.7506,-68.5145,-18.15,78,100,0.0,CA,1710823331
54,happy valley-goose bay,53.3168,-60.3315,-1.83,100,100,5.66,CA,1710823332
55,dudinka,69.4058,86.1778,-15.21,96,97,3.91,RU,1710823332
56,tvoroyri,61.5556,-6.8111,8.28,93,100,12.4,FO,1710823333
57,talnakh,69.4865,88.3972,-15.44,93,100,4.6,RU,1710823333
58,nemuro,43.3236,145.575,-1.54,64,26,12.31,JP,1710823334
59,cururupu,-1.8283,-44.8683,23.99,98,91,1.28,BR,1710823238
60,kodiak,57.79,-152.4072,0.73,69,0,0.0,US,1710823335
61,cedeira,43.6797,-8.0209,9.1,88,68,0.88,ES,1710823335
62,kiunga,-6.1219,141.2906,34.07,46,93,2.68,PG,1710823336
63,pisco,-13.7,-76.2167,23.03,83,0,4.12,PE,1710823337
